Bus_id,LoadZone,reference_load_share,softmap_load_share,dynamic_load_share,softmap_delta,dynamic_delta,abs_softmap_delta,abs_dynamic_delta
B1,TransnetBW,0.0058742738732638,0.0062429451026278,0.0062429451026278,0.0003686712293640001,0.0003686712293640001,0.0003686712293640001,0.0003686712293640001
B2,Amprion,1.034324575027524e-05,0.0002934810157966,0.0002934810157966,0.00028313777004632476,0.00028313777004632476,0.00028313777004632476,0.00028313777004632476
B3,Amprion,9.308921175247715e-05,0.0007420224678664,0.0007420224678664,0.0006489332561139228,0.0006489332561139228,0.0006489332561139228,0.0006489332561139228
B4,Amprion,0.0045082601281537,0.0046134630714664,0.0046134630714664,0.00010520294331269921,0.00010520294331269921,0.00010520294331269921,0.00010520294331269921
B5,50Hertz,1.0928305569576193e-05,0.0017908080566863,0.0017908080566863,0.0017798797511167238,0.0017798797511167238,0.0017798797511167238,0.0017798797511167238
B6,50Hertz,0.0038353553742736,0.0020338358053525,0.0020338358053525,-0.0018015195689211,-0.0018015195689211,0.0018015195689211,0.0018015195689211
B7,50Hertz,0.0188988009833978,0.0157581273189261,0.0157581273189261,-0.0031406736644717,-0.0031406736644717,0.0031406736644717,0.0031406736644717
B8,Amprion,0.0052606982204269,0.0033331359610435,0.0033331359610435,-0.0019275622593834,-0.0019275622593834,0.0019275622593834,0.0019275622593834
B9,50Hertz,0.0006539977205203,0.001750262973098,0.001750262973098,0.0010962652525777,0.0010962652525777,0.0010962652525777,0.0010962652525777
B10,TenneT,0.0009632606647807,0.0016395743610346,0.0016395743610346,0.0006763136962539,0.0006763136962539,0.0006763136962539,0.0006763136962539
B11,Amprion,1.034324575027524e-05,0.001601782759578,0.001601782759578,0.0015914395138277248,0.0015914395138277248,0.0015914395138277248,0.0015914395138277248
B12,50Hertz,0.0187476792705245,0.0201852993294927,0.0201852993294927,0.0014376200589682024,0.0014376200589682024,0.0014376200589682024,0.0014376200589682024
B13,TenneT,0.0036762889998682,0.0034315163563389,0.0034315163563389,-0.00024477264352930003,-0.00024477264352930003,0.00024477264352930003,0.00024477264352930003
B14,Amprion,0.000881131796464,0.0011279696031416,0.0011279696031416,0.0002468378066776,0.0002468378066776,0.0002468378066776,0.0002468378066776
B15,50Hertz,0.0,2.8387454400956533e-05,2.8387454400956533e-05,2.8387454400956533e-05,2.8387454400956533e-05,2.8387454400956533e-05,2.8387454400956533e-05
B16,50Hertz,0.0053221510075629,0.0045224361267863,0.0045224361267863,-0.0007997148807766001,-0.0007997148807766001,0.0007997148807766001,0.0007997148807766001
B17,50Hertz,0.0116593267062403,0.0050433277924216,0.0050433277924216,-0.0066159989138187,-0.0066159989138187,0.0066159989138187,0.0066159989138187
B18,TransnetBW,0.002500374039519,0.001583781884543,0.001583781884543,-0.0009165921549760001,-0.0009165921549760001,0.0009165921549760001,0.0009165921549760001
B19,Amprion,0.0059257709909132,0.0122499410416997,0.0122499410416997,0.0063241700507865,0.0063241700507865,0.0063241700507865,0.0063241700507865
B20,Amprion,0.0032075501612749,0.010274820046371,0.010274820046371,0.0070672698850961,0.0070672698850961,0.0070672698850961,0.0070672698850961
B21,TransnetBW,0.0006071848105593,0.0022470700349084,0.0022470700349084,0.0016398852243490998,0.0016398852243490998,0.0016398852243490998,0.0016398852243490998
B22,TransnetBW,5.724028145268236e-05,0.0005561341281482,0.0005561341281482,0.0004988938466955176,0.0004988938466955176,0.0004988938466955176,0.0004988938466955176
B23,50Hertz,0.0065539282748165,0.004889183731933,0.004889183731933,-0.0016647445428834996,-0.0016647445428834996,0.0016647445428834996,0.0016647445428834996
B24,50Hertz,0.003728724549335,0.0039626218424191,0.0039626218424191,0.00023389729308410023,0.00023389729308410023,0.00023389729308410023,0.00023389729308410023
B25,Amprion,0.0024181664252466,0.0015886831627648,0.0015886831627648,-0.0008294832624818,-0.0008294832624818,0.0008294832624818,0.0008294832624818
B26,TransnetBW,0.0002289611258107,0.0022295699713248,0.0022295699713248,0.0020006088455140998,0.0020006088455140998,0.0020006088455140998,0.0020006088455140998
B27,TransnetBW,0.0036843456328071,0.0017455103942492,0.0017455103942492,-0.0019388352385579,-0.0019388352385579,0.0019388352385579,0.0019388352385579
B28,TransnetBW,0.0076464496543691,0.0089315807472154,0.0089315807472154,0.0012851310928463002,0.0012851310928463002,0.0012851310928463002,0.0012851310928463002
B29,TenneT,4.92825719040876e-05,0.0006332436610688,0.0006332436610688,0.0005839610891647124,0.0005839610891647124,0.0005839610891647124,0.0005839610891647124
B30,TenneT,0.0083153228406682,0.0059692498355531,0.0059692498355531,-0.0023460730051151,-0.0023460730051151,0.0023460730051151,0.0023460730051151
B31,50Hertz,0.0005491643803392,0.003974888930519,0.003974888930519,0.0034257245501798,0.0034257245501798,0.0034257245501798,0.0034257245501798
B32,TenneT,0.0101987270839588,0.0081438580346116,0.0081438580346116,-0.002054869049347199,-0.002054869049347199,0.002054869049347199,0.002054869049347199
B33,TenneT,0.0063043251502824,0.0041824102875848,0.0041824102875848,-0.0021219148626976,-0.0021219148626976,0.0021219148626976,0.0021219148626976
B34,Amprion,0.0099299957829135,0.0072027290535859,0.0072027290535859,-0.0027272667293276,-0.0027272667293276,0.0027272667293276,0.0027272667293276
B35,Amprion,0.0042097042567657,0.0047973331251783,0.0047973331251783,0.0005876288684126003,0.0005876288684126003,0.0005876288684126003,0.0005876288684126003
B36,Amprion,0.0056272799832708,0.0051107907812381,0.0051107907812381,-0.0005164892020326998,-0.0005164892020326998,0.0005164892020326998,0.0005164892020326998
B37,TransnetBW,0.0024055956082667,0.0061778618994802,0.0061778618994802,0.0037722662912135,0.0037722662912135,0.0037722662912135,0.0037722662912135
B38,TransnetBW,0.0072454002231993,0.0105161800319148,0.0105161800319148,0.0032707798087155005,0.0032707798087155005,0.0032707798087155005,0.0032707798087155005
B39,TenneT,0.0005247931466543,0.0013240786564743,0.0013240786564743,0.0007992855098200001,0.0007992855098200001,0.0007992855098200001,0.0007992855098200001
