Line,From_bus_prestructural,To_bus_prestructural,From_zone_prestructural,To_zone_prestructural,HoursBinding_prestructural,AvgAbsShadow_prestructural,MaxAbsShadow_prestructural,AnnCongestionRent_prestructural,AnnLineLoss_MWh_prestructural,AvgLineLoss_MW_prestructural,AvgLoading_pct_prestructural,P95Loading_pct_prestructural,From_bus_structural,To_bus_structural,From_zone_structural,To_zone_structural,HoursBinding_structural,AvgAbsShadow_structural,MaxAbsShadow_structural,AnnCongestionRent_structural,AnnLineLoss_MWh_structural,AvgLineLoss_MW_structural,AvgLoading_pct_structural,P95Loading_pct_structural,Delta_HoursBinding,Delta_MaxAbsShadow,Delta_AnnCongestionRent
228,B543,B421,TenneT,TenneT,0,0.0,0.0,5.982334836384884,0.0,0.0,49.574391853653886,83.99876412546145,B543,B421,TenneT,TenneT,9,6.47630097698008e-17,1.3322676295501878e-15,6.273460118535267,0.0,0.0,65.61704531966737,100.0,9,1.3322676295501878e-15,0.29112528215038314
773,B304,B214,Amprion,Amprion,0,0.0,0.0,2921.248891886969,0.0,0.0,84.47882065478233,95.0835052630084,B304,B214,Amprion,Amprion,8,3.8743821811019753e-16,1.2017256010367918e-14,2155.7070077029985,0.0,0.0,82.69468979408336,100.0,8,1.2017256010367918e-14,-765.5418841839705
560,B460,B766,TenneT,TenneT,0,0.0,0.0,116.22705607425998,0.0,0.0,63.70154620221715,83.96502013128364,B460,B766,TenneT,TenneT,6,1.7578531223231642e-16,8.437694987151191e-15,169.2159811993775,0.0,0.0,65.33009621031611,100.0,6,8.437694987151191e-15,52.98892512511752
627,B738,B374,Amprion,Amprion,3,0.0520833333333335,2.5000000000000013,2457.779999999999,0.0,0.0,26.71483423658876,94.3015612420208,B738,B374,Amprion,Amprion,8,0.0560915375040981,2.5,2646.9246536989845,0.0,0.0,27.955952890809712,100.0,5,-1.3322676295501878e-15,189.14465369898562
961,B557,B230,Amprion,Amprion,19,3.467510338603638,40.38834021332636,176436.01134638625,0.0,0.0,93.213368933887,100.0,B557,B230,Amprion,Amprion,23,2.643678084062618,26.065747338711112,134337.65459522227,0.0,0.0,89.58711317218156,100.0,4,-14.322592874615246,-42098.356751163985
676,B339,B355,Amprion,Amprion,0,0.0,0.0,3207.0754843733625,0.0,0.0,70.97437153194458,81.0837202985474,B339,B355,Amprion,Amprion,4,1.9428902930940242e-16,7.549516567451064e-15,2560.052499554853,0.0,0.0,74.58380606379659,100.0,4,7.549516567451064e-15,-647.0229848185095
523,B309,B359,Amprion,Amprion,0,0.0,0.0,1707.7351322431166,0.0,0.0,57.4589379350106,72.60895437120129,B309,B359,Amprion,Amprion,3,2.7755575615628914e-16,8.437694987151191e-15,1206.231725728834,0.0,0.0,56.93728941653072,98.23148992748769,3,8.437694987151191e-15,-501.5034065142827
679,B40,B475,TenneT,TenneT,1,0.1177672646507219,5.652828703234655,8706.87102822355,0.0,0.0,66.3462886910713,90.93006601442778,B40,B475,TenneT,TenneT,2,0.3683931450318091,17.682870961526838,28020.394755533103,0.0,0.0,71.30977466337397,98.83431815908176,1,12.030042258292184,19313.523727309555
200,B646,B534,TenneT,TenneT,0,0.0,0.0,3206.832323191411,0.0,0.0,50.45721077309084,62.17035005762169,B646,B534,TenneT,TenneT,1,0.0,0.0,2717.922225925492,0.0,0.0,56.12567105840549,80.7940673880393,1,0.0,-488.9100972659189
389,B5,B6,50Hertz,50Hertz,0,0.0,0.0,32.92614731482365,0.0,0.0,61.65489102093046,73.99806463476929,B5,B6,50Hertz,50Hertz,1,0.0,0.0,28.422088416788554,0.0,0.0,65.35248280929993,77.98983566418099,1,0.0,-4.5040588980350975
392,B5,B6,50Hertz,50Hertz,0,0.0,0.0,32.92614731482365,0.0,0.0,61.65489102093031,73.99806463476929,B5,B6,50Hertz,50Hertz,1,0.0,0.0,28.422088416788554,0.0,0.0,65.35248280929986,77.98983566418099,1,0.0,-4.5040588980350975
396,B445,B286,TenneT,TenneT,0,0.0,0.0,491.6377795571445,0.0,0.0,11.677495954128112,25.779307493685245,B445,B286,TenneT,TenneT,1,9.251858538542969e-18,4.440892098500626e-16,575.7804673007246,0.0,0.0,25.486016705680253,91.29174945595064,1,4.440892098500626e-16,84.1426877435801
