Hour,Load_MW_prestructural,Generation_MW_prestructural,StorageCharge_MW_prestructural,StorageDischarge_MW_prestructural,TransmissionLoss_MW_prestructural,LoadShedding_MW_prestructural,Curtailment_MW_prestructural,AvgLMP_LoadWeighted_prestructural,TotalEmissions_ton_prestructural,Load_MW_structural,Generation_MW_structural,StorageCharge_MW_structural,StorageDischarge_MW_structural,TransmissionLoss_MW_structural,LoadShedding_MW_structural,Curtailment_MW_structural,AvgLMP_LoadWeighted_structural,TotalEmissions_ton_structural,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW
1,47742.5,35666.129400746715,0.0,12076.37059925326,0.0,0.0,34623.42912201172,2.9995683291509403,0.0,47742.5,35661.116948449664,0.0,12081.383051550329,0.0,0.0,34628.44157430875,2.999568329150947,0.0,5.0124522970290855,6.661338147750939e-15,-5.012452297050913,0.0,5.012452297069103
2,46867.5,48813.20315158332,1945.703151583403,0.0,0.0,0.0,22544.6360250032,2.9999999999999987,0.0,46867.5,48863.13561848136,1995.6356184813656,0.0,0.0,0.0,22494.70355810517,2.9999999999999987,0.0,-49.932466898029816,0.0,49.93246689804073,49.93246689796251,0.0
3,45798.0,46234.905140209135,436.9051402090812,0.0,0.0,0.0,26047.2105342742,2.99999999999999,0.0,45798.0,47280.14597761178,1482.145977611731,0.0,0.0,0.0,25001.969696871573,3.0,0.0,-1045.2408374026272,1.021405182655144e-14,1045.2408374026418,1045.24083740265,0.0
4,44624.25,46277.88877777778,1653.6387777777777,0.0,0.0,0.0,22387.90434628704,2.9999999999999987,0.0,44624.25,45913.29233333334,1289.0423333333329,0.0,0.0,0.0,22752.500790731483,2.9999999999999982,0.0,364.5964444444435,-4.440892098500626e-16,-364.59644444443984,-364.59644444444484,0.0
5,43626.25,43920.0658572223,293.81585722222235,0.0,0.0,0.0,24509.08779383092,3.0000000000000018,0.0,43626.25,44624.18895952387,997.9389595238092,0.0,0.0,0.0,23804.96469152933,3.0000000000000018,0.0,-704.1231023015898,0.0,704.1231023015716,704.1231023015869,0.0
6,43839.25,44813.60781152047,974.3578115204224,0.0,0.0,0.0,24196.856058130965,3.0,0.0,43839.25,46030.63951470933,2191.389514709247,0.0,0.0,0.0,22979.82435494213,2.999999999999996,0.0,-1217.0317031888335,-3.9968028886505635e-15,1217.0317031888553,1217.0317031888248,0.0
7,43176.25,44874.8339518924,1698.583951892375,0.0,0.0,0.0,27599.911914631783,3.000000000000001,0.0,43176.25,45613.74561904763,2437.49561904762,0.0,0.0,0.0,26861.00024747656,2.999999999999998,0.0,-738.911667155222,-3.1086244689504383e-15,738.9116671552329,738.9116671552451,0.0
8,43525.0,44468.32406851002,943.3240685101274,0.0,0.0,0.0,29840.93362248344,3.0000000000000004,0.0,43525.0,44587.58239722216,1062.5823972222222,0.0,0.0,0.0,29721.67529377137,3.000000000000001,0.0,-119.25832871206876,4.440892098500626e-16,119.25832871214516,119.2583287120948,0.0
9,45659.75,45761.56527777784,101.81527777777778,0.0,0.0,0.0,30574.25081543978,3.0000000000000004,0.0,45659.75,47973.46407619051,2313.714076190477,0.0,0.0,0.0,28362.35201702705,3.0,0.0,-2211.8987984127307,-4.440892098500626e-16,2211.8987984126725,2211.8987984126993,0.0
10,47681.25,48465.66969246703,784.419692467047,0.0,0.0,0.0,28265.77519204313,3.0,0.0,47681.25,50705.43334720043,3024.183347200461,0.0,0.0,0.0,26026.01153730973,2.999999999999998,0.0,-2239.7636547334005,-2.220446049250313e-15,2239.763654733397,2239.763654733414,0.0
