CaseLabel,Line,From_bus,To_bus,From_zone,To_zone,HoursBinding,MaxAbsShadow,MidLongitude,MidLatitude,RegionLabel
2day_structural,669,B35,B36,Amprion,Amprion,28,8.640104348898067,8.72064153,51.718469185000004,central
2day_structural,961,B557,B230,Amprion,Amprion,23,26.065747338711112,7.013443325000001,51.852017015,west_central
2day_structural,4,B381,B363,TransnetBW,TransnetBW,22,6.8136654860537575,8.292632185,49.018720744999996,southwest
2day_structural,772,B657,B256,50Hertz,50Hertz,17,9.52723555277962,13.809316665,54.44866868,north_or_northeast
2day_structural,228,B543,B421,TenneT,TenneT,9,1.3322676295501878e-15,9.986458715000001,53.753755575,northwest_coastal
2day_structural,627,B738,B374,Amprion,Amprion,8,2.4999999999999996,6.343000180000001,49.94059878,west_central
2day_structural,773,B304,B214,Amprion,Amprion,8,1.2017256010367918e-14,7.430123495,51.652449425,west_central
2day_structural,467,B312,B314,TenneT,TenneT,7,19.119790035798058,7.648601620000001,53.34513144,northwest_coastal
2day_structural,560,B460,B766,TenneT,TenneT,6,8.43769498715119e-15,10.30121759,52.288960450000005,central
2day_structural,676,B339,B355,Amprion,Amprion,4,7.549516567451064e-15,8.51211738,51.963474635,west_central
week1_structural,961,B557,B230,Amprion,Amprion,131,43.3752508617994,7.013443325000001,51.852017015,west_central
week1_structural,4,B381,B363,TransnetBW,TransnetBW,110,89.07963731753657,8.292632185,49.018720744999996,southwest
week1_structural,773,B304,B214,Amprion,Amprion,102,27.27391394904629,7.430123495,51.652449425,west_central
week1_structural,676,B339,B355,Amprion,Amprion,87,5.784034320130677,8.51211738,51.963474635,west_central
week1_structural,560,B460,B766,TenneT,TenneT,84,8.13018680263903,10.30121759,52.288960450000005,central
week1_structural,444,B555,B578,TenneT,TenneT,80,6.215141815973801,9.155764985000001,53.934308970000004,northwest_coastal
week1_structural,445,B555,B578,TenneT,TenneT,80,5.831940207418327,9.155764985000001,53.934308970000004,northwest_coastal
week1_structural,679,B40,B475,TenneT,TenneT,75,20.673738131256947,8.58262822,53.059277025,northwest_coastal
week1_structural,228,B543,B421,TenneT,TenneT,68,0.3334780227760805,9.986458715000001,53.753755575,northwest_coastal
week1_structural,858,B477,B143,TenneT,TenneT,64,0.7017649194153779,8.969988835,52.4703984,central
