CaseLabel,Season,Zone,RegionLabel,Count
jan_week3,winter,Amprion,west_central,4
jan_week3,winter,TransnetBW,southwest,3
jan_week3,winter,TenneT,northwest_coastal,2
jan_week3,winter,TransnetBW,west_central,1
apr_week3,spring,Amprion,west_central,3
apr_week3,spring,TransnetBW,southwest,3
apr_week3,spring,50Hertz,north_or_northeast,1
apr_week3,spring,Amprion,central,1
apr_week3,spring,TenneT,northwest_coastal,1
apr_week3,spring,TransnetBW,west_central,1
jul_week3,summer,Amprion,west_central,4
jul_week3,summer,TransnetBW,southwest,3
jul_week3,summer,50Hertz,north_or_northeast,1
jul_week3,summer,TenneT,central,1
jul_week3,summer,TransnetBW,west_central,1
oct_week3,autumn,TenneT,northwest_coastal,3
oct_week3,autumn,Amprion,west_central,2
oct_week3,autumn,TransnetBW,southwest,2
oct_week3,autumn,50Hertz,north_or_northeast,1
oct_week3,autumn,Amprion,central,1
oct_week3,autumn,TransnetBW,west_central,1
