Line,From_bus,To_bus,From_zone,To_zone,SeasonsPresent,SeasonList,TotalHoursBinding,MaxHoursBinding,MaxAbsShadow
4,B381,B363,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",419,125,115.30750450045845
9,B633,B365,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",375,167,24.00000000000236
828,B246,B364,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",108,37,11.608648690492917
627,B738,B374,Amprion,Amprion,3,"autumn,spring,summer",199,77,35.49221860432167
772,B657,B256,50Hertz,50Hertz,3,"autumn,spring,summer",106,58,27.66657591763271
961,B557,B230,Amprion,Amprion,3,"autumn,spring,summer",100,66,35.171418231919134
679,B40,B475,TenneT,TenneT,3,"autumn,spring,winter",72,27,52.57117003143133
753,B54,B270,TransnetBW,TransnetBW,3,"spring,summer,winter",20,8,29.29831707832858
669,B35,B36,Amprion,Amprion,2,"autumn,spring",40,33,9.043297252931316
163,B493,B59,Amprion,Amprion,2,"summer,winter",14,9,0.04319649514225432
940,B217,B216,Amprion,Amprion,2,"spring,summer",10,9,15.721893438706978
733,B449,B397,TenneT,TenneT,1,winter,133,133,1.3500311979441904e-13
71,B266,B247,Amprion,Amprion,1,winter,52,52,31.999999999999957
445,B555,B578,TenneT,TenneT,1,autumn,29,29,7.663521632260121
444,B555,B578,TenneT,TenneT,1,autumn,29,29,6.2468759734829185
929,B784,B194,Amprion,Amprion,1,winter,8,8,0.019514015694134912
755,B2,B304,Amprion,Amprion,1,winter,7,7,4.017537173427239e-14
560,B460,B766,TenneT,TenneT,1,summer,3,3,0.0
