Line,From_bus,To_bus,From_zone,To_zone,PreStructuralHoursBinding,StructuralHoursBinding,DeltaHoursBinding,PreStructuralCongestionRent,StructuralCongestionRent,DeltaCongestionRent
1,B443,B473,Amprion,Amprion,0.0,0.0,0.0,-11816.431108214501,-10372.252137356023,1444.1789708584784
2,B504,B583,TransnetBW,TransnetBW,0.0,0.0,0.0,-419.27212770173765,-297.71117893707566,121.56094876466199
3,B494,B435,Amprion,Amprion,0.0,0.0,0.0,-2608.9431640347766,-2278.0004822138967,330.9426818208799
4,B381,B363,TransnetBW,TransnetBW,102.0,110.0,8.0,707499.3588076443,696712.0868571684,-10787.271950475988
5,B639,B680,Amprion,TransnetBW,0.0,0.0,0.0,-12309.442019811451,-12305.16567907419,4.276340737260398
6,B21,B22,TransnetBW,TransnetBW,0.0,0.0,0.0,19418.462057533023,19122.21783974861,-296.2442177844132
7,B494,B428,Amprion,Amprion,0.0,0.0,0.0,-2559.357737005415,-2396.9830884609532,162.3746485444617
8,B322,B633,TransnetBW,TransnetBW,0.0,0.0,0.0,2564.8724461863444,2516.1078967218086,-48.764549464535776
9,B633,B365,TransnetBW,TransnetBW,21.0,20.0,-1.0,298994.7335407374,303962.21567925543,4967.482138518011
10,B583,B582,TransnetBW,TransnetBW,0.0,0.0,0.0,-687.7543129327433,-657.0136483460818,30.740664586661524
11,B653,B511,TransnetBW,TransnetBW,0.0,0.0,0.0,2845.3360854876714,2258.2494618551623,-587.0866236325091
12,B321,B291,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
13,B37,B38,TransnetBW,TransnetBW,0.0,0.0,0.0,747.4633670560635,734.9829443581993,-12.480422697864128
14,B410,B516,TransnetBW,TenneT,0.0,0.0,0.0,4153.563361469949,3755.8149333020647,-397.7484281678844
15,B195,B693,Amprion,Amprion,0.0,0.0,0.0,0.0,0.0,0.0
16,B147,B280,Amprion,Amprion,0.0,0.0,0.0,-2412.6771989054014,-2002.0799531164155,410.5972457889859
17,B343,B281,Amprion,Amprion,0.0,0.0,0.0,-13437.1023670917,-11276.734355376182,2160.368011715518
18,B47,B556,Amprion,Amprion,0.0,0.0,0.0,-991.3831885294516,-732.7579274911179,258.62526103833363
19,B47,B147,Amprion,Amprion,0.0,0.0,0.0,826.1976988386155,654.2985906112667,-171.89910822734873
20,B623,B195,Amprion,Amprion,0.0,0.0,0.0,943.1196534556543,262.4810212592089,-680.6386321964454
21,B48,B474,Amprion,Amprion,0.0,0.0,0.0,-32.958522288927455,-24.934722184763675,8.02380010416378
22,B49,B262,Amprion,Amprion,0.0,0.0,0.0,-931.5116935107953,-791.3333839480631,140.17830956273224
23,B74,B101,Amprion,Amprion,0.0,0.0,0.0,-607.4853411197698,-790.8666372052678,-183.38129608549798
24,B278,B767,TenneT,TenneT,0.0,0.0,0.0,-0.0,-0.0,0.0
25,B470,B137,Amprion,Amprion,0.0,0.0,0.0,-3365.3917639585416,-3093.339103023036,272.0526609355056
26,B722,B634,TransnetBW,TransnetBW,0.0,0.0,0.0,-604.4997602575138,-581.5927232354971,22.907037022016652
27,B493,B188,Amprion,Amprion,0.0,0.0,0.0,-174.83755466664698,-152.79891274491297,22.038641921734012
28,B454,B195,Amprion,Amprion,0.0,0.0,0.0,10933.453126672119,7410.774926092441,-3522.6782005796777
29,B159,B672,50Hertz,50Hertz,0.0,0.0,0.0,381.1036210302122,403.4627979118994,22.359176881687176
30,B686,B72,50Hertz,50Hertz,0.0,0.0,0.0,537.7676790031747,537.4872970767304,-0.2803819264443064
31,B55,B229,Amprion,Amprion,0.0,0.0,0.0,6889.768021903317,5843.432585637146,-1046.3354362661712
32,B229,B213,Amprion,Amprion,0.0,0.0,0.0,54685.73144943446,47547.6299990809,-7138.1014503535625
33,B379,B378,TransnetBW,TransnetBW,0.0,0.0,0.0,-4787.877626691228,-3859.1193314699476,928.7582952212806
34,B492,B247,Amprion,Amprion,0.0,0.0,0.0,-0.0,-0.0,0.0
35,B287,B737,TransnetBW,TransnetBW,0.0,0.0,0.0,-9352.942070992929,-9066.039210461482,286.902860531447
36,B491,B60,Amprion,Amprion,0.0,0.0,0.0,-684.053519189052,-451.1491870930151,232.90433209603697
37,B235,B61,Amprion,Amprion,0.0,0.0,0.0,-758.680058710177,-576.2348181101264,182.44524060005062
38,B62,B428,Amprion,Amprion,0.0,0.0,0.0,-819.0245710597047,-907.6702185132033,-88.64564745349855
39,B649,B176,Amprion,Amprion,0.0,0.0,0.0,28918.68831028643,22160.56726327421,-6758.1210470122205
40,B175,B64,Amprion,Amprion,0.0,0.0,0.0,73983.87754860685,59929.84468637066,-14054.032862236185
41,B787,B267,Amprion,Amprion,0.0,0.0,0.0,-433.4285580220056,-342.2099439813081,91.2186140406975
42,B788,B141,Amprion,Amprion,0.0,0.0,0.0,-2268.2959580851234,-1917.179728603452,351.1162294816713
43,B66,B384,Amprion,Amprion,0.0,0.0,0.0,0.0,0.0,0.0
44,B67,B619,Amprion,Amprion,0.0,0.0,0.0,-856.9104054423035,-914.7832794671397,-57.872874024836165
45,B782,B620,Amprion,Amprion,0.0,0.0,0.0,-281.0210534018904,-305.2027337746928,-24.18168037280236
46,B668,B313,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
47,B119,B609,TenneT,TenneT,0.0,0.0,0.0,-31060.041095690343,-31644.73470311389,-584.6936074235455
48,B551,B539,TenneT,TenneT,0.0,0.0,0.0,9653.081648068726,12248.200809176413,2595.1191611076865
49,B146,B217,Amprion,Amprion,0.0,0.0,0.0,56408.83954282313,46009.45289427585,-10399.386648547283
50,B786,B181,TenneT,TenneT,0.0,0.0,0.0,5682.836900860893,9508.009133805446,3825.172232944553
51,B216,B175,Amprion,Amprion,0.0,0.0,0.0,34031.60951672254,27460.52693105622,-6571.082585666321
52,B219,B605,TransnetBW,TransnetBW,0.0,0.0,0.0,-2364.357450913782,-2242.3625187626603,121.9949321511217
53,B423,B86,Amprion,Amprion,0.0,0.0,0.0,1162.6105903006817,649.6406082756354,-512.9699820250463
54,B55,B213,Amprion,Amprion,0.0,0.0,0.0,62716.47233893635,54216.92479756466,-8499.547541371692
55,B106,B417,TransnetBW,TransnetBW,0.0,0.0,0.0,19234.146608921303,18819.776538206013,-414.37007071528933
56,B30,B71,TenneT,TenneT,0.0,0.0,0.0,200.56875665223785,183.97166272900174,-16.597093923236116
57,B76,B554,TenneT,TenneT,0.0,0.0,0.0,397.0947035103974,381.8053204642012,-15.289383046196178
