Hour,PreStructuralLoadMW,StructuralLoadMW,PreStructuralAvgLMP,StructuralAvgLMP,DeltaAvgLMP,PreStructuralCurtailmentMW,StructuralCurtailmentMW
1,47742.5,47742.5,2.99956832915095,2.999568329150947,-3.1086244689504383e-15,34623.42912201157,34632.80731507907
2,46867.5,46867.5,2.9999999999999987,2.9999999999999987,0.0,24490.3391765865,24490.33917658653
3,45798.0,45798.0,2.9999999999999982,3.0,1.7763568394002505e-15,26478.890770297436,26483.23379412672
4,44624.25,44624.25,2.9999999999999987,2.9999999999999987,0.0,24005.931348869737,24041.54312406481
5,43626.25,43626.25,3.000000000000001,3.000000000000002,1.3322676295501878e-15,24702.9262298795,24691.388489835255
6,43839.25,43839.25,3.000000000000011,2.999999999999997,-1.4210854715202004e-14,24910.70094462848,25119.713088058583
7,43176.25,43176.25,3.0000000000021636,2.9999999999999982,-2.1653789872289053e-12,29062.75997766547,29072.634462958977
8,43525.0,43525.0,3.0000000000000084,3.0000000000000004,-7.993605777301127e-15,30531.63955174466,30531.791973543823
9,45659.75,45659.75,2.999999999999943,3.0000000000000004,5.728750807065808e-14,30515.551159081922,30477.193991970333
10,47681.25,47681.25,2.999999999999995,2.9999999999999987,3.552713678800501e-15,28690.839717400882,28757.951571798967
11,50088.5,50088.5,2.999999999999994,3.0000000000000018,7.993605777301127e-15,32509.000537510292,32838.52555526255
12,52089.5,52089.5,2.9999999999999747,3.0000000000000013,2.6645352591003757e-14,32741.973630940964,32746.069871665946
13,53127.5,53127.5,3.000000000000006,2.999999999999999,-7.105427357601002e-15,34619.6024317111,34493.68255098652
14,51858.75,51858.75,3.0000000000000044,3.0000000000000036,-8.881784197001252e-16,37478.83199567821,37241.96580420132
15,50763.0,50763.0,3.0000000000000075,3.0000000000000013,-6.217248937900877e-15,38367.505463680376,38544.16694140235
16,51838.25,51838.25,3.0000000000000844,2.9999999999999956,-8.881784197001252e-14,41097.06875588237,41515.14493220702
17,53930.25,53930.25,3.000000000000001,2.999999999999999,-1.7763568394002505e-15,38658.618242687284,38575.250373478535
18,55772.75,55772.75,3.0000000000000084,3.000000000000002,-6.217248937900877e-15,39911.24319825494,40103.44646796819
19,55924.25,55924.25,2.999999999999998,2.9999999999999973,-4.440892098500626e-16,38632.087128399275,38610.917744647704
20,54756.75,54756.75,3.000000000000006,3.0,-6.217248937900877e-15,37815.79456851719,37803.4297491393
21,52526.75,52526.75,2.9999999999999982,3.0000000000000018,3.552713678800501e-15,39270.834795167204,39386.95551409693
22,50686.25,50686.25,3.00000000000001,3.0000000000000018,-8.43769498715119e-15,38015.16491010033,37903.151834584605
23,48596.25,48596.25,3.0000000000000013,3.0,-1.3322676295501878e-15,36226.06158723292,35687.688390077594
24,46002.0,46002.0,2.9999999999999956,3.000000000000004,8.43769498715119e-15,37199.5744742583,37154.922666660095
25,44101.75,44101.75,3.0000000000000053,3.0000000000000013,-3.9968028886505635e-15,34220.357190168004,34818.22604629101
26,42051.75,42051.75,2.999999999999999,3.0000000000000013,2.220446049250313e-15,34261.834125449575,34893.16668741107
27,41235.5,41235.5,2.9999999999999982,2.999999999999996,-2.220446049250313e-15,31359.877603927565,31882.258977987167
28,41547.75,41547.75,3.0000000000000027,3.0000000000000027,0.0,29988.831083786612,29357.576482021734
29,42063.25,42063.25,3.000000000000084,2.999999999999999,-8.482103908136196e-14,25559.856090634992,25228.027839873364
30,44062.0,44062.0,2.999999999999887,3.0000000000000004,1.1324274851176597e-13,21702.699873079306,20781.02334992239
31,49523.25,49523.25,3.000000000000004,2.9999999999999964,-7.549516567451064e-15,17275.4631461024,17028.915067658527
32,53621.5,53621.5,6.082316809000843,4.700169732797395,-1.3821470762034478,8327.305456603315,7907.605266954489
33,57052.25,57052.25,11.132996731433082,11.071979557841981,-0.06101717359110026,5014.660273628202,4860.468905455258
