Longitude,Latitude,IndustrialWeight
9.8896143,51.5159555,1.0
9.1658983,48.8151733,1.0
8.6472661,51.8316151,1.0
8.639969,50.0950702,1.0
9.6276026,48.8726387,1.0
8.806763,52.2303104,1.0
9.9071365,52.3597221,1.0
10.7663812,48.1740112,1.0
11.5346068,51.0356697,1.0
14.5335998,51.0261312,1.0
9.882571,52.3536973,1.0
9.6664118,52.3886394,1.0
9.6868551,52.3699011,1.0
10.9464731,48.7017969,1.0
12.3391134,52.5704758,1.0
10.5337559,52.477571,1.0
10.8926133,49.9196155,1.0
10.0430322,53.5154512,1.0
7.2943407,51.1413227,1.0
7.3034256,51.1472401,1.0
7.2697384,51.1506672,1.0
10.358911,53.7402266,1.0
9.7249484,53.5687891,1.0
8.5376631,52.2007408,1.0
10.8672636,49.911056,1.0
9.6892214,54.3089626,1.0
12.8383559,50.663551,1.0
12.8366709,50.6616892,1.0
12.8332399,50.6556392,1.0
8.3581508,51.6734843,1.0
7.274576,51.2308735,1.0
10.9445227,51.5085902,1.0
10.0968717,53.8490309,1.0
7.3171443,52.4688671,1.0
7.3276123,52.4924344,1.0
8.7911489,52.232883,1.0
7.2442988,51.2197776,1.0
7.383494,52.4676503,1.0
7.3821698,52.4683146,1.0
6.8837828,51.1601156,1.0
8.6998705,50.6498018,1.0
7.5659525,50.9464671,1.0
11.6913754,50.2131095,1.0
6.6356476,51.3381312,1.0
12.8426149,50.6825354,1.0
12.7836969,50.5613806,1.0
8.885567,53.8027246,1.0
11.0124328,49.4476915,1.0
11.0554309,49.4127383,1.0
8.3441226,51.68868,1.0
7.3517103,51.2764246,1.0
12.8279652,50.6445929,1.0
9.8935402,53.5131202,1.0
9.8758948,53.5157743,1.0
10.0293462,53.5131411,1.0
7.3088851,51.2409158,1.0
9.1435508,49.3355007,1.0
11.6507432,48.0722818,1.0
7.300783,50.5572952,1.0
11.1374036,49.4096181,1.0
6.8856351,51.1592932,1.0
9.765586,51.3933205,1.0
12.6280423,50.7768413,1.0
9.2157515,49.1585396,1.0
11.6946462,50.2189395,1.0
11.6922397,50.2209496,1.0
9.8394903,52.4916245,1.0
9.149436,51.9237141,1.0
12.0624397,49.635591,1.0
6.8325797,49.2571906,1.0
7.4766611,50.4334689,1.0
7.3201972,50.5025501,1.0
7.8331989,47.9914032,1.0
9.4328055,53.9725191,1.0
7.8251567,47.9806922,1.0
7.5076279,51.8807936,1.0
8.4906134,50.5695616,1.0
9.202345,49.7842682,1.0
9.9519119,47.5990106,1.0
9.594943,47.5962844,1.0
8.712449,49.0242793,1.0
11.1025616,47.5138986,1.0
8.4503571,51.8903994,1.0
8.8174197,48.9630418,1.0
7.8474172,48.0239021,1.0
10.3345507,47.5038386,1.0
8.9578722,54.3227866,1.0
6.9601792,50.8416252,1.0
9.2056002,50.0021887,1.0
6.7107295,53.5857903,1.0
7.8603074,47.9897354,1.0
6.7276993,53.6070136,1.0
